Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,536.000000,541.900024,535.849976,540.599976,535.806335,10264223
2020-01-03,538.000000,540.799988,536.250000,538.849976,534.071838,9594690
2020-01-06,537.250000,537.250000,523.799988,525.700012,521.038513,12534334
2020-01-07,531.299988,535.599976,521.650024,522.900024,518.263306,16101835
2020-01-08,516.000000,527.349976,515.000000,525.950012,521.286255,16094310
2020-01-09,530.700012,547.400024,530.299988,546.299988,541.455811,18934019
2020-01-10,544.900024,546.500000,538.500000,540.250000,535.459473,12335407
2020-01-13,539.400024,546.049988,538.000000,538.599976,533.824036,7901800
2020-01-14,536.200012,538.950012,534.150024,537.599976,532.832947,13939440
2020-01-15,535.099976,536.950012,530.650024,535.599976,530.850708,12353176
2020-01-16,533.900024,540.000000,533.200012,537.150024,532.386963,11249232
2020-01-17,534.500000,538.000000,530.599976,532.049988,527.332153,18312609
2020-01-20,533.000000,544.000000,531.000000,534.849976,530.107361,19159996
2020-01-21,532.950012,540.250000,530.200012,531.049988,526.341003,13477994
2020-01-22,531.500000,534.950012,520.750000,522.849976,518.213745,17527408
2020-01-23,521.400024,530.250000,517.049988,527.700012,523.020813,17061293
2020-01-24,529.250000,537.400024,527.000000,533.849976,529.116150,17851868
2020-01-27,538.500000,545.000000,531.500000,537.250000,532.486084,38149166
2020-01-28,538.099976,540.599976,524.450012,528.200012,523.516357,24009224
2020-01-29,531.549988,534.799988,525.299988,526.599976,521.930481,16400827
2020-01-30,527.650024,533.950012,524.150024,532.200012,527.480835,14319317
2020-01-31,530.000000,532.750000,522.400024,525.650024,520.988953,16292578
2020-02-03,504.000000,519.150024,502.000000,515.549988,510.978485,22531888
2020-02-04,520.000000,534.650024,516.650024,530.799988,526.093262,17781475
2020-02-05,529.049988,540.400024,525.700012,539.099976,534.319641,18782476
2020-02-06,540.349976,547.000000,536.250000,541.599976,536.797485,15296851
2020-02-07,540.950012,541.750000,535.150024,536.450012,531.693176,8297149
2020-02-10,538.650024,542.250000,530.500000,533.950012,529.215393,12536053
2020-02-11,537.700012,544.799988,537.500000,539.750000,534.963867,11243552
2020-02-12,545.799988,550.700012,542.700012,549.299988,544.429199,14026335
2020-02-13,549.000000,549.000000,538.000000,541.000000,536.202820,9227235
2020-02-14,541.250000,548.650024,536.549988,545.799988,540.960266,14458649
2020-02-17,543.000000,545.349976,537.750000,541.599976,536.797485,7793293
2020-02-18,541.000000,544.400024,536.000000,541.200012,536.401062,15918303
2020-02-19,543.500000,546.500000,540.500000,544.799988,539.969116,8704234
2020-02-20,545.500000,549.349976,541.799988,547.000000,542.149597,13588526
2020-02-24,539.500000,541.849976,527.549988,529.849976,525.151672,16940750
2020-02-25,532.450012,538.799988,525.299988,530.950012,526.241943,14942960
2020-02-26,526.849976,529.349976,522.200012,523.700012,519.056213,15743918
2020-02-27,522.799988,523.299988,512.650024,515.349976,510.780212,26315054
2020-02-28,501.600006,506.850006,492.200012,497.250000,492.840759,32737933
2020-03-02,508.250000,520.549988,498.450012,506.100006,501.612274,28642076
2020-03-03,509.850006,519.500000,508.500000,514.750000,510.185577,19661945
2020-03-04,517.500000,517.500000,497.049988,508.350006,503.842346,21883404
2020-03-05,509.750000,511.149994,500.000000,504.500000,500.026459,16671516
2020-03-06,485.000000,496.799988,477.299988,486.350006,482.037415,31024353
2020-03-09,475.000000,475.000000,442.950012,457.750000,453.691010,42027175
2020-03-11,450.000000,471.750000,449.600006,465.649994,461.520966,31018779
2020-03-12,438.000000,445.950012,416.000000,425.649994,421.875641,50757033
2020-03-13,401.000000,464.750000,395.200012,447.200012,443.234558,67104335
2020-03-16,424.200012,424.200012,397.450012,402.899994,399.327362,34833637
2020-03-17,407.000000,408.450012,364.000000,367.250000,363.993500,47232699
2020-03-18,369.100006,375.500000,342.299988,355.049988,351.901672,61202289
2020-03-19,336.100006,369.600006,323.000000,338.549988,335.547974,57985870
2020-03-20,328.000000,359.799988,323.000000,345.700012,342.634583,88640642
2020-03-23,311.149994,313.700012,280.000000,284.000000,281.481689,56867949
2020-03-24,295.299988,305.000000,268.299988,296.500000,293.870850,67895418
2020-03-25,284.000000,334.149994,281.600006,316.899994,314.089935,66544138
2020-03-26,322.000000,364.399994,314.250000,330.250000,327.321594,76173940
2020-03-27,355.799988,359.549988,326.000000,339.850006,336.836487,72889985
2020-03-30,330.100006,333.899994,311.100006,313.399994,310.621002,36559880
2020-03-31,324.700012,334.850006,316.000000,323.750000,320.879211,46279768
2020-04-01,319.000000,323.750000,308.100006,311.149994,308.390961,33141186
2020-04-03,309.500000,309.500000,281.500000,286.649994,284.108185,57326314
2020-04-07,308.299988,329.600006,296.850006,326.100006,323.208374,57661076
2020-04-08,322.850006,352.750000,315.100006,318.950012,316.121796,73931321
