Date,Open Price,High,Low,Close Price,Total Traded Quantity,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
2016-02-29,145500.0,149000.0,144500.0,147500.0,570117,147900.0,147326.28135244676,147900.0,149949.39015319193,145850.60984680807,54.54544770328558,76.63100972220774,285058500.0,4000.0,-1296661975.1899762
2016-03-02,150000.0,150000.0,148000.0,150000.0,539821,148100.0,148217.5210225337,148100.0,150783.28157299975,145416.71842700025,91.1749431930337,76.89638925589482,1349552500.0,3250.0,614132746.6503885
2016-03-03,151500.0,151500.0,146000.0,147500.0,627810,147800.0,147978.34732672546,147800.0,150309.98007960222,145290.01992039778,34.91022261777783,76.71200765938818,-1569525000.0,3750.0,307297176.159659
2016-03-04,146000.0,147500.0,143500.0,147500.0,696287,147900.0,147818.89820820352,147900.0,150287.46727726265,145512.53272273735,34.91022261777783,65.34708085539702,0.0,4750.0,-1043030755.4138529
2016-03-07,147500.0,147500.0,145500.0,146500.0,317439,147800.0,147379.26545446485,147800.0,150407.68096208107,145192.31903791893,17.56602638710264,62.63056114733467,-317439000.0,3000.0,-618501948.1539222
2016-03-08,145000.0,149500.0,145000.0,148000.0,366489,147900.0,147586.17697518773,147900.0,150488.43582110896,145311.56417889104,66.90021490287629,61.85355695818104,549733500.0,3250.0,775471535.5373192
2016-03-09,147000.0,149500.0,146500.0,149500.0,452965,147800.0,148224.11799485484,147800.0,149990.89023002065,145609.10976997935,84.93367534115677,59.942831216878375,679447500.0,3750.0,708813941.9653126
2016-03-10,149000.0,150000.0,148000.0,148000.0,690061,147900.0,148149.4119956802,147900.0,150067.9483388679,145732.0516611321,40.64508149875972,61.38847088010221,-1035091500.0,2500.0,393278285.0285775
2016-03-11,147500.0,150000.0,147500.0,149000.0,408175,148200.0,148432.9413327046,148200.0,150502.17288664426,145897.82711335574,64.98783419565657,60.9520290386977,408175000.0,2250.0,68354426.03870827
2016-03-14,150000.0,150500.0,147000.0,148500.0,362075,148600.0,148455.2942219214,148600.0,149903.84048104053,147296.15951895947,46.086677765786696,60.06740414909949,-181037500.0,3000.0,-76560298.89140663
2016-03-15,148500.0,149000.0,146000.0,147000.0,309077,148400.0,147970.1961462358,148400.0,150323.53840616712,146476.46159383288,16.78901980525636,55.5934957812439,-463615500.0,3250.0,-606644946.0813969
2016-03-16,147000.0,148000.0,145500.0,146500.0,206136,147800.0,147480.13076300436,147800.0,149873.64413533278,145726.35586466722,11.791655378027045,52.47799916115988,-103068000.0,2750.0,-1061441779.2400883
2016-03-17,148000.0,148500.0,146000.0,146500.0,492380,147500.0,147153.4205081572,147500.0,149845.2078799117,145154.7921200883,11.791655378027045,60.16939383734422,0.0,2500.0,-327862351.6606612
2016-03-18,148000.0,150500.0,147500.0,150500.0,769047,147800.0,148268.9470066045,147800.0,151235.11280746353,144364.88719253647,91.61917141938687,67.78974046659908,3076188000.0,2750.0,468266025.6039171
2016-03-21,151000.0,155000.0,149500.0,154500.0,803657,149000.0,150345.9646725174,149000.0,156000.0,142000.0,97.01747379752207,68.99470780149962,3214628000.0,4250.0,1453435339.6305947
2016-03-22,155500.0,159000.0,155000.0,159000.0,872121,151400.0,153230.6431163521,151400.0,162179.6103825695,140620.3896174305,98.78228528454055,70.59321892745079,3924544500.0,4750.0,2201402184.1657333
