Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.0,148000.0,143500.0,144000.0,116768.6171875,445332
2016-01-05,143000.0,145000.0,142000.0,143500.0,116363.1640625,530496
2016-01-06,144000.0,145000.0,139000.0,140000.0,113525.046875,769406
2016-01-07,138500.0,140000.0,137500.0,137500.0,111497.8046875,586187
2016-01-08,134500.0,138000.0,133500.0,136500.0,110686.9140625,888701
2016-01-11,134500.0,140500.0,134000.0,140000.0,113525.046875,542749
2016-01-12,140500.0,141500.0,139000.0,139500.0,113119.578125,386506
2016-01-13,140500.0,141500.0,139500.0,140500.0,113930.5,338336
2016-01-14,138500.0,143500.0,136500.0,141000.0,114335.9453125,664829
2016-01-15,141000.0,142000.0,136500.0,138500.0,112308.6875,568653
2016-01-18,137500.0,140000.0,135500.0,139000.0,112714.140625,400716
2016-01-19,138000.0,140000.0,136000.0,140000.0,113525.046875,332956
2016-01-20,139500.0,140000.0,135500.0,136500.0,110686.9140625,544330
2016-01-21,136000.0,138000.0,135500.0,137000.0,111092.3515625,455723
2016-01-22,138000.0,140500.0,136500.0,139000.0,112714.140625,551671
2016-01-25,140000.0,140500.0,136000.0,137500.0,111497.8046875,543064
2016-01-26,136500.0,137000.0,134500.0,136000.0,110281.46875,564584
2016-01-27,135500.0,137000.0,134500.0,137000.0,111092.3515625,702981
2016-01-28,135500.0,136500.0,134500.0,135000.0,109470.5703125,480730
2016-01-29,135000.0,136000.0,131000.0,133000.0,107848.78125,990382
2016-02-01,132000.0,132500.0,130500.0,132500.0,107443.34375,689972
2016-02-02,131500.0,132500.0,129000.0,129500.0,105010.6640625,594441
2016-02-03,127500.0,129500.0,126500.0,129000.0,104605.203125,649021
2016-02-04,130000.0,132500.0,129500.0,132500.0,107443.34375,600523
2016-02-05,132000.0,133500.0,131000.0,133500.0,108254.234375,513150
2016-02-11,130500.0,132500.0,130500.0,131000.0,106227.0078125,688873
2016-02-12,131500.0,137500.0,131000.0,137000.0,111092.3515625,1264899
2016-02-15,137500.0,141500.0,135000.0,139500.0,113119.578125,879160
2016-02-16,139500.0,142500.0,137500.0,141000.0,114335.9453125,524822
2016-02-17,142000.0,147500.0,141000.0,147000.0,119201.3125,772996
2016-02-18,147500.0,149000.0,145500.0,147000.0,119201.3125,468798
2016-02-19,147000.0,151000.0,147000.0,149000.0,120823.09375,477553
2016-02-22,147500.0,148500.0,146000.0,147500.0,119606.734375,273335
2016-02-23,148000.0,149000.0,146500.0,149000.0,120823.09375,250401
2016-02-24,147500.0,150000.0,146500.0,149000.0,120823.09375,191286
2016-02-25,149500.0,153000.0,145500.0,147000.0,119201.3125,490265
2016-02-26,148000.0,148000.0,144500.0,147000.0,119201.3125,351408
2016-02-29,145500.0,149000.0,144500.0,147500.0,119606.734375,570117
2016-03-02,150000.0,150000.0,148000.0,150000.0,121633.96875,539821
2016-03-03,151500.0,151500.0,146000.0,147500.0,119606.734375,627810
2016-03-04,146000.0,147500.0,143500.0,147500.0,119606.734375,696287
2016-03-07,147500.0,147500.0,145500.0,146500.0,118795.828125,317439
2016-03-08,145000.0,149500.0,145000.0,148000.0,120012.1875,366489
2016-03-09,147000.0,149500.0,146500.0,149500.0,121228.5390625,452965
2016-03-10,149000.0,150000.0,148000.0,148000.0,120012.1875,690061
2016-03-11,147500.0,150000.0,147500.0,149000.0,120823.09375,408175
2016-03-14,150000.0,150500.0,147000.0,148500.0,120417.6484375,362075
2016-03-15,148500.0,149000.0,146000.0,147000.0,119201.3125,309077
2016-03-16,147000.0,148000.0,145500.0,146500.0,118795.828125,206136
2016-03-17,148000.0,148500.0,146000.0,146500.0,118795.828125,492380
2016-03-18,148000.0,150500.0,147500.0,150500.0,122039.4296875,769047
2016-03-21,151000.0,155000.0,149500.0,154500.0,125282.984375,803657
2016-03-22,155500.0,159000.0,155000.0,159000.0,128932.0078125,872121
2016-03-23,159500.0,159500.0,157000.0,158000.0,128121.0859375,454762
2016-03-24,156500.0,157000.0,154500.0,155500.0,126093.859375,288522
2016-03-25,154500.0,155500.0,152000.0,153000.0,124066.671875,279961
2016-03-28,153000.0,156500.0,152000.0,154000.0,124877.53125,186865
2016-03-29,155000.0,156000.0,153500.0,155000.0,125688.4453125,229075
2016-03-30,156000.0,159000.0,155000.0,155500.0,126093.859375,373060
2016-03-31,156000.0,156000.0,151500.0,152500.0,123661.21875,575626
2016-04-01,152500.0,152500.0,147500.0,149500.0,121228.5390625,604435
2016-04-04,148500.0,149500.0,143500.0,144000.0,116768.6171875,767267
2016-04-05,144000.0,145000.0,143500.0,144500.0,117174.0703125,292339
2016-04-06,144000.0,146000.0,144000.0,144000.0,116768.6171875,379789
2016-04-07,143500.0,146500.0,143500.0,146500.0,118795.828125,366852
2016-04-08,146000.0,146500.0,144000.0,146000.0,118390.3828125,339546
2016-04-11,147500.0,147500.0,145000.0,146000.0,118390.3828125,197423
2016-04-12,146000.0,150000.0,145000.0,148500.0,120417.6484375,361212
2016-04-14,150000.0,152000.0,149500.0,152000.0,123255.7578125,496852
2016-04-15,150500.0,152000.0,149000.0,151500.0,122850.328125,297722
2016-04-18,150000.0,155000.0,150000.0,154000.0,124877.53125,406339
2016-04-19,155000.0,155000.0,152000.0,153000.0,124066.671875,310407
2016-04-20,153500.0,155000.0,151000.0,151500.0,122850.328125,270230
2016-04-21,152000.0,154500.0,152000.0,154000.0,124877.53125,297646
2016-04-22,152000.0,153500.0,150500.0,151000.0,122444.8671875,318972
2016-04-25,151000.0,152000.0,149000.0,149500.0,121228.5390625,273343
2016-04-26,149000.0,154000.0,149000.0,153500.0,124472.1015625,365930
2016-04-27,152000.0,153000.0,148500.0,149000.0,120823.09375,374037
2016-04-28,148500.0,150500.0,147000.0,148000.0,120012.1875,466520
2016-04-29,146500.0,147500.0,142000.0,143500.0,116363.1640625,739237
2016-05-02,142000.0,144000.0,141500.0,142500.0,115552.2734375,242036
2016-05-03,143000.0,144000.0,142000.0,142500.0,115552.2734375,359029
2016-05-04,141500.0,142000.0,138500.0,139000.0,112714.140625,807340
2016-05-09,138500.0,139000.0,135500.0,135500.0,109876.015625,482711
2016-05-10,136500.0,140500.0,136500.0,139500.0,113119.578125,346710
2016-05-11,140500.0,142000.0,138500.0,139000.0,112714.140625,284228
2016-05-12,138000.0,138500.0,136500.0,136500.0,110686.9140625,421047
2016-05-13,136000.0,137500.0,135000.0,135000.0,109470.5703125,529746
2016-05-16,136500.0,137500.0,135000.0,135500.0,109876.015625,397771
2016-05-17,135500.0,136500.0,134500.0,134500.0,109065.1328125,314839
2016-05-18,135000.0,135500.0,132000.0,133000.0,107848.78125,630692
2016-05-19,132500.0,136000.0,132500.0,134500.0,109065.1328125,389055
2016-05-20,134000.0,135000.0,131500.0,132000.0,107037.890625,462176
2016-05-23,133000.0,134500.0,133000.0,133000.0,107848.78125,310458
2016-05-24,133000.0,135000.0,132000.0,133500.0,108254.234375,355717
2016-05-25,134500.0,137000.0,134000.0,135000.0,109470.5703125,500528
2016-05-26,136000.0,137000.0,134500.0,135000.0,109470.5703125,342299
2016-05-27,136000.0,136500.0,135000.0,136000.0,110281.46875,346406
2016-05-30,136000.0,137500.0,135000.0,136500.0,110686.9140625,474129
2016-05-31,136500.0,139500.0,135000.0,139500.0,113119.578125,1734508
2016-06-01,137500.0,138500.0,136500.0,138000.0,111903.2578125,507997
2016-06-02,138500.0,139000.0,136500.0,138000.0,111903.2578125,419054
2016-06-03,138000.0,139500.0,137500.0,138500.0,112308.6875,352778
2016-06-07,138500.0,139500.0,137500.0,139500.0,113119.578125,608452
2016-06-08,138500.0,141500.0,138500.0,139500.0,113119.578125,598656
2016-06-09,139500.0,140500.0,137500.0,139000.0,112714.140625,578177
2016-06-10,138500.0,140000.0,138000.0,139000.0,112714.140625,350588
2016-06-13,138000.0,138500.0,135500.0,135500.0,109876.015625,476958
2016-06-14,135500.0,138500.0,135000.0,138500.0,112308.6875,431039
2016-06-15,138000.0,139500.0,135000.0,135500.0,109876.015625,409607
2016-06-16,135500.0,136000.0,133500.0,134500.0,109065.1328125,399199
2016-06-17,136000.0,136500.0,133500.0,134500.0,109065.1328125,328695
2016-06-20,136000.0,138500.0,135500.0,136500.0,110686.9140625,305307
2016-06-21,136500.0,139000.0,135500.0,138000.0,111903.2578125,353879
2016-06-22,138500.0,141500.0,138500.0,140000.0,113525.046875,413267
2016-06-23,140500.0,141500.0,140000.0,141000.0,114335.9453125,273960
2016-06-24,140500.0,142000.0,134500.0,139500.0,113119.578125,901574
2016-06-27,141000.0,144000.0,139500.0,141500.0,114741.3828125,1031506
2016-06-28,141500.0,142000.0,138500.0,139000.0,112714.140625,570526
2016-06-29,140000.0,140000.0,137500.0,139000.0,113530.90625,436045
2016-06-30,138000.0,138500.0,135500.0,135500.0,110672.21875,2700499
2016-07-01,136500.0,138000.0,136000.0,137000.0,111897.3671875,388387
2016-07-04,138000.0,139500.0,137000.0,137000.0,111897.3671875,518981
2016-07-05,136500.0,137000.0,134500.0,135000.0,110263.828125,389267
2016-07-06,134000.0,134500.0,129000.0,130000.0,106179.9921875,1098353
2016-07-07,131500.0,132500.0,130500.0,131000.0,106996.7578125,351312
2016-07-08,131000.0,133000.0,129000.0,130500.0,106588.3671875,472095
2016-07-11,130500.0,132000.0,130500.0,131000.0,106996.7578125,395952
2016-07-12,131500.0,133000.0,131000.0,132000.0,107813.5234375,401323
2016-07-13,133000.0,135500.0,132500.0,135500.0,110672.21875,567236
2016-07-14,134000.0,134500.0,131000.0,131500.0,107405.1484375,688220
2016-07-15,132000.0,134000.0,132000.0,133000.0,108630.296875,608594
2016-07-18,133000.0,134000.0,131000.0,132000.0,107813.5234375,417748
2016-07-19,131500.0,132000.0,130000.0,130000.0,106179.9921875,630163
2016-07-20,129500.0,131000.0,129000.0,129500.0,105771.609375,513880
2016-07-21,130000.0,131000.0,128500.0,130000.0,106179.9921875,459440
2016-07-22,130000.0,130500.0,129000.0,129000.0,105363.21875,364418
2016-07-25,129500.0,136000.0,129500.0,135500.0,110672.21875,1182857
2016-07-26,135000.0,139500.0,134000.0,136000.0,111080.609375,1125762
2016-07-27,137000.0,137500.0,135000.0,137000.0,111897.3671875,450182
2016-07-28,137500.0,138000.0,135000.0,136000.0,111080.609375,451570
2016-07-29,135000.0,136000.0,132000.0,132000.0,107813.5234375,698032
2016-08-01,132500.0,136000.0,132500.0,135500.0,110672.21875,510753
2016-08-02,135500.0,135500.0,133000.0,134000.0,109447.0625,383193
2016-08-03,133000.0,134000.0,130500.0,132000.0,107813.5234375,393748
2016-08-04,132500.0,133000.0,129500.0,130500.0,106588.3671875,552854
2016-08-05,130500.0,133000.0,130500.0,133000.0,108630.296875,432472
2016-08-08,134000.0,134000.0,132000.0,133000.0,108630.296875,367241
2016-08-09,135000.0,137000.0,134500.0,136500.0,111488.9921875,590729
2016-08-10,135500.0,137000.0,134000.0,134000.0,109447.0625,495316
2016-08-11,134000.0,135000.0,133500.0,134500.0,109855.453125,340296
2016-08-12,135000.0,136000.0,134500.0,136000.0,111080.609375,441448
2016-08-16,136000.0,137000.0,133000.0,133000.0,108630.296875,564040
2016-08-17,133500.0,135000.0,133000.0,135000.0,110263.828125,456621
2016-08-18,134500.0,135000.0,132000.0,132500.0,108221.90625,501557
2016-08-19,133000.0,134000.0,132000.0,132500.0,108221.90625,375138
2016-08-22,132500.0,133000.0,131000.0,132000.0,107813.5234375,400250
2016-08-23,133000.0,134500.0,132000.0,132500.0,108221.90625,421660
2016-08-24,132000.0,135500.0,131500.0,135500.0,110672.21875,725511
2016-08-25,136000.0,138000.0,134000.0,136500.0,111488.9921875,880226
2016-08-26,136500.0,137000.0,135000.0,135500.0,110672.21875,426273
2016-08-29,134000.0,134500.0,133000.0,134000.0,109447.0625,328229
2016-08-30,133500.0,135000.0,132500.0,132500.0,108221.90625,331306
2016-08-31,132000.0,133500.0,131000.0,133000.0,108630.296875,621524
2016-09-01,133000.0,133500.0,131500.0,131500.0,107405.1484375,572941
2016-09-02,132500.0,136500.0,132000.0,135000.0,110263.828125,1129376
2016-09-05,136000.0,139000.0,136000.0,139000.0,113530.90625,681920
2016-09-06,138500.0,140000.0,138000.0,139500.0,113939.2890625,455216
2016-09-07,139500.0,140500.0,138000.0,139000.0,113530.90625,515978
2016-09-08,139000.0,140000.0,136500.0,139000.0,113530.90625,604332
2016-09-09,138000.0,140000.0,137500.0,139500.0,113939.2890625,430914
2016-09-12,138500.0,139500.0,137500.0,138500.0,113122.515625,447847
2016-09-13,140000.0,140500.0,138000.0,138500.0,113122.515625,560421
2016-09-19,137000.0,139500.0,136000.0,137000.0,111897.3671875,536712
2016-09-20,137000.0,139500.0,136500.0,138500.0,113122.515625,517081
2016-09-21,137500.0,138500.0,136500.0,138000.0,112714.1484375,464658
2016-09-22,138000.0,139500.0,137500.0,138000.0,112714.1484375,360424
2016-09-23,139500.0,142000.0,139000.0,142000.0,115981.2265625,595938
2016-09-26,140500.0,141500.0,139000.0,140500.0,114756.078125,444564
2016-09-27,140000.0,142000.0,138500.0,141500.0,115572.84375,451975
2016-09-28,141000.0,141500.0,138000.0,138500.0,113122.515625,513300
2016-09-29,138500.0,139500.0,138000.0,139500.0,113939.2890625,473726
2016-09-30,138500.0,139500.0,135000.0,135500.0,110672.21875,617732
2016-10-04,138500.0,141000.0,137500.0,139000.0,113530.90625,707562
2016-10-05,137500.0,140500.0,136500.0,140000.0,114347.6875,549606
2016-10-06,139000.0,140000.0,138500.0,139000.0,113530.90625,271808
2016-10-07,138500.0,139000.0,135500.0,136500.0,111488.9921875,449894
2016-10-10,134000.0,135000.0,131000.0,133500.0,109038.6875,687120
2016-10-11,135000.0,135500.0,133500.0,134500.0,109855.453125,355273
2016-10-12,134500.0,137000.0,133500.0,136500.0,111488.9921875,418529
2016-10-13,136500.0,137000.0,133500.0,134000.0,109447.0625,444173
2016-10-14,133500.0,135000.0,133000.0,133000.0,108630.296875,385561
2016-10-17,134500.0,136500.0,133000.0,133000.0,108630.296875,552827
2016-10-18,133500.0,135500.0,132500.0,134500.0,109855.453125,357363
2016-10-19,134500.0,135500.0,132500.0,133000.0,108630.296875,474445
2016-10-20,133500.0,134000.0,131500.0,132000.0,107813.5234375,411425
2016-10-21,132500.0,135000.0,132000.0,133500.0,109038.6875,375157
2016-10-24,134500.0,134500.0,133500.0,134500.0,109855.453125,256889
2016-10-25,135000.0,139500.0,134500.0,138000.0,112714.1484375,863431
2016-10-26,137500.0,138500.0,135000.0,137500.0,112305.765625,551856
2016-10-27,139000.0,139500.0,135500.0,138000.0,112714.1484375,503571
2016-10-28,138000.0,141500.0,137500.0,140500.0,114756.078125,708752
2016-10-31,139000.0,141000.0,139000.0,140000.0,114347.6875,394472
2016-11-01,141000.0,141500.0,140000.0,141500.0,115572.84375,436941
2016-11-02,141000.0,141500.0,139500.0,139500.0,113939.2890625,655976
2016-11-03,139500.0,140000.0,136000.0,136500.0,111488.9921875,520972
2016-11-04,136500.0,137000.0,135500.0,136000.0,111080.609375,345493
2016-11-07,137500.0,138000.0,136000.0,137000.0,111897.3671875,388228
2016-11-08,137500.0,139500.0,137000.0,138500.0,113122.515625,341446
2016-11-09,138000.0,140000.0,130500.0,134000.0,109447.0625,1054746
2016-11-10,135000.0,135000.0,129000.0,129000.0,105363.21875,1253550
2016-11-11,130000.0,132000.0,130000.0,131500.0,107405.1484375,571291
2016-11-14,132000.0,134000.0,131000.0,132000.0,107813.5234375,369913
2016-11-15,131500.0,132000.0,129500.0,130500.0,106588.3671875,416685
2016-11-16,130500.0,133500.0,130000.0,131000.0,106996.7578125,379475
2016-11-17,131000.0,133000.0,131000.0,132000.0,107813.5234375,217101
2016-11-18,131500.0,132000.0,129500.0,129500.0,105771.609375,282286
2016-11-21,130000.0,133500.0,129500.0,133500.0,109038.6875,392922
2016-11-22,133500.0,134500.0,132500.0,133500.0,109038.6875,366844
2016-11-23,134500.0,135000.0,132500.0,134000.0,109447.0625,292727
2016-11-24,133500.0,136000.0,133000.0,135000.0,110263.828125,340767
2016-11-25,135500.0,136000.0,134500.0,136000.0,111080.609375,180033
2016-11-28,135000.0,136000.0,133500.0,135000.0,110263.828125,256341
2016-11-29,133000.0,135500.0,133000.0,134500.0,109855.453125,312216
2016-11-30,133500.0,134500.0,132500.0,133000.0,108630.296875,1188767
2016-12-01,133000.0,135500.0,132000.0,132000.0,107813.5234375,478362
2016-12-02,134000.0,136000.0,133000.0,133500.0,109038.6875,403575
2016-12-05,134500.0,135500.0,133000.0,134000.0,109447.0625,244209
2016-12-06,135500.0,137000.0,135000.0,136500.0,111488.9921875,374760
2016-12-07,138000.0,138000.0,136500.0,136500.0,111488.9921875,279131
2016-12-08,138500.0,142000.0,138000.0,142000.0,115981.2265625,889649
2016-12-09,142000.0,145000.0,141000.0,144000.0,117614.7578125,647418
2016-12-12,146000.0,148000.0,143500.0,144500.0,118023.1484375,378077
2016-12-13,144500.0,145000.0,142500.0,145000.0,118431.5234375,283933
2016-12-14,144500.0,145000.0,142000.0,143500.0,117206.375,261384
2016-12-15,142000.0,143000.0,141000.0,142000.0,115981.2265625,285737
2016-12-16,141000.0,142000.0,139000.0,139500.0,113939.2890625,523767
2016-12-19,140000.0,142500.0,139500.0,142000.0,115981.2265625,293868
2016-12-20,141500.0,144000.0,141500.0,143500.0,117206.375,399511
2016-12-21,144500.0,144500.0,142500.0,143500.0,117206.375,310188
2016-12-22,143000.0,143000.0,141000.0,142000.0,115981.2265625,334338
2016-12-23,143000.0,144000.0,142000.0,144000.0,117614.7578125,357914
2016-12-26,143500.0,145000.0,143500.0,144500.0,118023.1484375,206099
2016-12-27,144500.0,145000.0,144000.0,144500.0,118023.1484375,337224
2016-12-28,142500.0,144000.0,141500.0,143500.0,119691.3203125,377265
2016-12-29,142500.0,146000.0,142000.0,146000.0,121776.5390625,381283
2017-01-02,146000.0,150500.0,145500.0,150000.0,125112.875,545854
2017-01-03,151000.0,154000.0,150000.0,153000.0,127615.15625,723246
2017-01-04,152500.0,155000.0,152000.0,154000.0,128449.203125,601826
2017-01-05,154000.0,154500.0,152000.0,153500.0,128032.1875,391604
2017-01-06,152000.0,153000.0,149500.0,151000.0,125946.9609375,366091
2017-01-09,151000.0,151500.0,149500.0,150500.0,125529.9296875,325146
2017-01-10,150500.0,153000.0,150500.0,152000.0,126781.0234375,411333
2017-01-11,150500.0,150500.0,147500.0,148500.0,123861.7578125,675973
2017-01-12,148000.0,151000.0,147500.0,148000.0,123444.71875,433867
2017-01-13,149000.0,150000.0,148500.0,149000.0,124278.8046875,293211
2017-01-16,148500.0,151000.0,148500.0,150500.0,125529.9296875,316413
2017-01-17,150000.0,154000.0,149500.0,153500.0,128032.1875,487662
2017-01-18,153000.0,155500.0,151000.0,154000.0,128449.203125,395088
2017-01-19,153000.0,153500.0,151000.0,152000.0,126781.0234375,255111
2017-01-20,150500.0,153500.0,150000.0,153000.0,127615.15625,310228
2017-01-23,151500.0,152000.0,148500.0,149000.0,124278.8046875,424036
2017-01-24,149500.0,149500.0,145500.0,146500.0,122193.5625,518186
2017-01-25,146500.0,147500.0,141500.0,142000.0,118440.1953125,749465
2017-01-26,143500.0,143500.0,139500.0,142500.0,118857.2265625,632413
2017-01-31,141500.0,142500.0,139000.0,139500.0,116354.96875,574213
2017-02-01,140000.0,141000.0,139000.0,139500.0,116354.96875,446549
2017-02-02,140000.0,140000.0,135500.0,136000.0,113435.6640625,610731
2017-02-03,136500.0,139000.0,136000.0,137500.0,114686.8046875,453051
2017-02-06,139000.0,139500.0,136000.0,136500.0,113852.7109375,293891
2017-02-07,138000.0,140000.0,137500.0,139000.0,115937.9296875,395508
2017-02-08,138500.0,139500.0,137000.0,139000.0,115937.9296875,415346
2017-02-09,139500.0,141000.0,137500.0,140000.0,116772.0234375,513611
2017-02-10,141000.0,141500.0,139000.0,141000.0,117606.1015625,330000
2017-02-13,141500.0,141500.0,139000.0,139500.0,116354.96875,320997
2017-02-14,140000.0,140500.0,139500.0,140000.0,116772.0234375,295126
2017-02-15,141500.0,146500.0,141500.0,145500.0,121359.5,682399
2017-02-16,146500.0,151500.0,146500.0,150500.0,125529.9296875,991329
2017-02-17,149500.0,151000.0,148000.0,150500.0,125529.9296875,484244
2017-02-20,149500.0,151000.0,149500.0,150000.0,125112.875,239916
2017-02-21,150000.0,151500.0,149000.0,151000.0,125946.9609375,324845
2017-02-22,150000.0,151000.0,147000.0,149500.0,124695.8359375,423978
2017-02-23,150500.0,150500.0,145000.0,146000.0,121776.5390625,790326
2017-02-24,147000.0,148500.0,146500.0,148000.0,123444.71875,248236
2017-02-27,148500.0,149000.0,146500.0,148500.0,123861.7578125,183801
2017-02-28,148500.0,150000.0,146500.0,149500.0,124695.8359375,476960
2017-03-02,149000.0,150500.0,148500.0,148500.0,123861.7578125,660227
2017-03-03,147000.0,148000.0,141000.0,142000.0,118440.1953125,774281
2017-03-06,141500.0,145000.0,140000.0,145000.0,120942.4453125,568168
2017-03-07,143000.0,146000.0,143000.0,144000.0,120108.359375,361237
2017-03-08,144000.0,144500.0,141500.0,144500.0,120525.421875,430524
2017-03-09,144500.0,145500.0,143500.0,145000.0,120942.4453125,516356
2017-03-10,145000.0,146500.0,143500.0,146000.0,121776.5390625,418788
2017-03-13,145500.0,147000.0,145000.0,146000.0,121776.5390625,346033
2017-03-14,147000.0,149500.0,146500.0,149000.0,124278.8046875,402984
2017-03-15,148500.0,149500.0,147500.0,149500.0,124695.8359375,415972
