Symbol,Open Price,High,Low,Close Price,Total Traded Quantity,Total Traded Value,Date,Average Trading Price,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
HDFC,2418.0,2438.5,2409.0,2433.95,945874,2294533927.0,01-Jan-20,2425.834653452785,,,,,,,,,,
HDFC,2430.0,2472.75,2422.0,2466.4,1701396,4169605313.0,02-Jan-20,2450.696553300937,,,,,,,,55210300.200000465,40.125,
HDFC,2455.0,2466.4,2441.8,2454.45,1963923,4815298363.0,03-Jan-20,2451.8773714651747,,,,,,57.58651286601562,,-23468879.850000534,37.674999999999955,39446.70319730315
HDFC,2428.0,2445.0,2371.4,2384.1,2656731,6365761041.0,06-Jan-20,2396.087914433189,,2424.910769230769,,,,9.607698001480443,,-186901025.84999976,49.09999999999991,-59367.03652094195
HDFC,2401.25,2428.8,2380.2,2415.05,3771992,9078864622.0,07-Jan-20,2406.9151318454547,2430.79,2421.125355450237,2430.79,2496.1012318058692,2365.4787681941307,47.84317075254142,,116743152.40000103,61.100000000000136,-65962.5081597179
HDFC,2387.0,2413.0,2385.5,2406.15,2147334,5152320291.0,08-Jan-20,2399.403302420583,2425.23,2415.6531578947374,2425.23,2493.845836364501,2356.614163635499,38.481621435932794,,-19111272.600000195,38.05000000000018,-5745.347854788793
HDFC,2430.0,2462.7,2421.15,2457.4,3247323,7937400090.0,09-Jan-20,2444.2902938820685,2423.43,2430.4338513841676,2423.43,2486.9270314266737,2359.932968573326,81.09175377468057,,166425303.75,34.524999999999864,23939.934564659117
HDFC,2465.0,2477.65,2440.3,2457.55,2082060,5116849568.0,10-Jan-20,2457.5898715695034,2424.05,2439.839563838224,2424.05,2489.1029399796817,2358.9970600203187,81.16810734641513,,312309.00000018935,39.44999999999982,42594.62830674606
HDFC,2461.1,2471.05,2441.0,2462.55,3401754,8341254561.0,13-Jan-20,2452.0451981536585,2439.7400000000002,2447.6118851390124,2439.7400000000002,2493.4731555001204,2386.00684449988,85.16247700797057,,17008770.0,33.700000000000045,13989.99953353973
HDFC,2463.65,2499.9,2446.6,2492.3,2549328,6313164444.0,14-Jan-20,2476.4033674756643,2455.19,2462.770802240414,2455.19,2517.211746186319,2393.168253813681,95.78966177169,,75842508.0,41.67500000000018,16703.591455458598
HDFC,2483.95,2495.0,2453.55,2488.6,2279961,5650678839.0,15-Jan-20,2478.4103057025977,2471.68,2471.4812363291626,2471.68,2506.297957767613,2437.062042232387,81.30470355810012,,-8435855.700000621,47.375,18938.290929679108
HDFC,2486.0,2495.75,2471.8,2482.1,1794295,4455532994.0,16-Jan-20,2483.166365619923,2476.62,2475.0483169462123,2476.62,2507.941605961385,2445.298394038615,53.09519775851921,,-11662917.5,32.69999999999982,7271.965854317259
HDFC,2467.75,2479.0,2448.25,2453.95,2250437,5539209315.0,17-Jan-20,2461.3927494970976,2475.9,2467.9792219873393,2475.9,2509.4963539688506,2442.3036460311496,13.256532346282484,,-63349801.550000206,27.34999999999991,-7426.258999796848
HDFC,2474.0,2486.55,2440.4,2454.35,2274456,5592774717.0,20-Jan-20,2458.950499372157,2474.2599999999998,2463.420532257371,2474.2599999999998,2511.695905224801,2436.8240947751983,15.067599382465872,58.73667838783116,909782.4000002069,38.450000000000045,-13918.672154199623
HDFC,2443.0,2485.9,2432.0,2465.45,2404025,5915603566.0,21-Jan-20,2460.708006780296,2468.8900000000003,2464.098569911203,2468.8900000000003,2500.6616382958177,2437.118361704183,60.656723801101954,63.22077864145435,26684677.49999978,50.02500000000009,-5224.8698381982485
HDFC,2474.0,2483.35,2412.2,2416.6,3356004,8177410519.0,22-Jan-20,2436.651004885572,2454.4900000000002,2448.24157196457,2454.4900000000002,2502.639735201766,2406.3402647982343,10.595914187070122,55.644382951195595,-163940795.3999997,62.52500000000009,-16918.642652664577
HDFC,2422.0,2436.4,2404.35,2428.4,1812646,4390290578.0,23-Jan-20,2422.034185384239,2443.75,2441.620995027397,2443.75,2484.493527093271,2403.006472906729,36.08142902961848,50.443314205219245,21389222.80000033,51.600000000000136,-36069.38013229294
HDFC,2423.0,2458.6,2411.4,2450.75,2178412,5317035467.0,24-Jan-20,2440.785061319897,2443.1099999999997,2444.6660570941585,2443.1099999999997,2483.146820553087,2403.0731794469125,69.26763274736118,57.16589999324301,48687508.1999998,39.625,-8379.317774590563
HDFC,2433.0,2445.0,2388.5,2395.8,2543177,6144072138.0,27-Jan-20,2415.9042559758914,2431.4,2428.3700203681783,2431.4,2486.4383956888287,2376.3616043111715,19.495538379679843,48.371812215984846,-139747576.14999953,51.84999999999991,-4428.269486381232
HDFC,2413.0,2471.7,2410.0,2431.6,6698252,16370561187.0,28-Jan-20,2444.004971296989,2424.63,2429.447004125334,2424.63,2465.13553048659,2384.12446951341,58.422905566222255,59.84121117104428,239797421.59999818,59.09999999999991,-9172.692879850569
HDFC,2446.0,2447.5,2400.0,2404.25,2692713,6535014985.0,29-Jan-20,2426.925923780217,2422.16,2421.046318532276,2422.16,2466.4438232315147,2377.876176768485,33.59914389273028,52.28768727774784,-73645700.54999976,54.59999999999991,-3982.6854103331225
HDFC,2413.0,2428.7,2386.9,2415.0,2807667,6773672532.0,30-Jan-20,2412.562647920854,2419.48,2419.0306096075424,2419.48,2463.4967354536893,2375.4632645463107,50.22479399715752,46.02279192175151,30182420.25,44.649999999999864,-26955.39714180876
HDFC,2417.0,2434.75,2404.5,2414.0,2828509,6841949880.0,31-Jan-20,2418.924557072295,2412.13,2417.3535903079123,2412.13,2438.954951071718,2385.3050489282823,47.989312807064266,54.04912069706131,-2828509.0,36.024999999999864,-5549.794992155455
HDFC,2250.0,2298.05,2228.2,2259.75,5220749,11837535197.0,03-Feb-20,2267.401707494461,2384.92,2364.8159393011015,2384.92,2526.237560833748,2243.602439166252,3.257668151714171,44.70801254477926,-805300533.25,50.05000000000018,-98369.84198192542
HDFC,2265.6,2351.0,2265.6,2345.95,3288687,7637738602.0,04-Feb-20,2322.427948296691,2367.79,2358.5270438137563,2367.79,2501.3680932638285,2234.2119067361714,52.618987606280385,51.36154699564089,283484819.3999994,77.62500000000023,-46038.2804071808
HDFC,2345.55,2395.5,2326.2,2391.65,3244383,7680979375.0,05-Feb-20,2367.4699858185672,2365.27,2369.5683207145453,2365.27,2495.8507145025637,2234.6892854974362,69.25336949031274,52.86618727011846,148268303.1000009,77.35000000000014,114778.17450077318
HDFC,2390.0,2447.8,2369.65,2436.45,3536393,8548207986.0,06-Feb-20,2417.2109790964973,2369.56,2391.8626062102076,2369.56,2509.3914056283497,2229.72859437165,81.78868804322431,59.32881969199101,158430406.39999902,73.72500000000014,109022.35741223923
HDFC,2428.1,2452.3,2398.35,2405.65,2193190,5307998216.0,07-Feb-20,2420.218137051509,2367.8900000000003,2396.458458067698,2367.8900000000003,2505.245203760179,2230.534796239822,52.409033062973535,59.21846112561606,-67550251.9999994,66.05000000000018,73316.03805122992
HDFC,2405.0,2425.3,2391.05,2414.3,2056525,4959076231.0,10-Feb-20,2411.386309915999,2398.8,2402.405685234831,2398.8,2466.245830115732,2331.3541698842682,60.39915319376784,54.192335715848635,17788941.250000186,44.100000000000136,6135.994935857127
HDFC,2424.45,2441.75,2420.2,2435.15,1732762,4214124062.0,11-Feb-20,2432.0270539173875,2416.64,2413.3205137450886,2416.64,2455.18623198187,2378.0937680181296,78.1134977754283,60.40418765233689,36128087.69999984,27.90000000000009,-103.12629449202359
HDFC,2449.5,2487.0,2427.9,2437.6,4173099,10235994517.0,12-Feb-20,2452.8520691696986,2425.83,2421.4137039678967,2425.83,2455.4670207679546,2396.192979232045,80.1954710636589,66.59452928526832,10224092.54999924,40.325000000000045,32925.071430978445
