Symbol,High,Low,Open Price,Close Price,Average Trading Price,Total Traded Quantity,52 Week Low,52 Week High,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
TITAN,2910.0,2559.25,2603.05,2906.95,2727.8,31523699,1825.05,2791.0,,,,,,,,,,
TITAN,392.4,336.55,356.2,344.05,359.26,36607459,302.75,448.4,,,,,,,,-93821256671.09999,203.29999999999998,
TITAN,392.4,336.55,376.1,341.7,355.97,38414704,302.75,448.4,,,,,,0.0,,-90274554.40000087,55.849999999999966,-180800.41761434457
TITAN,383.95,326.95,378.05,343.4,350.47,42971196,302.75,448.4,,658.563076923077,,,,0.2641392169049226,,73051033.19999951,56.42499999999998,-598.5695627368644
TITAN,378.35,326.95,365.7,339.0,349.27,44797543,302.75,448.4,855.0199999999999,535.8872037914693,855.0199999999999,3149.150805555777,-1439.110805555777,0.26057633353769916,,-197109189.19999897,54.20000000000002,-759.2033724973692
TITAN,372.9,326.95,360.95,369.55,348.52,40762659,302.75,448.4,347.54,475.1053383458648,347.54,372.4557982011264,322.6242017988736,15.995352439969025,,1245299232.4500005,48.67500000000001,-314.2226004230582
TITAN,376.0,326.95,350.65,355.85,350.39,43689820,302.75,448.4,349.9,432.8823457989317,349.9,375.39166530455105,324.4083346954489,14.012666817462105,,-598550533.9999995,47.5,-66.5805356502836
TITAN,376.0,320.15,350.0,334.7,348.43,43749942,302.75,448.4,348.5,398.8260745440128,348.5,376.851807702495,320.148192297505,10.134140356617053,,-925311273.3000015,52.45000000000002,-130.00917554798318
TITAN,376.0,320.15,345.0,330.15,346.81,42325654,302.75,448.4,345.85,375.32267226540097,345.85,378.7046039391629,312.99539606083715,9.055693612045033,,-192581725.7000005,55.85000000000002,-217.01743056025305
TITAN,376.0,301.7,335.0,338.45,344.45,43831290,302.75,448.4,345.73999999999995,362.81487720810003,345.73999999999995,378.71274632176176,312.76725367823815,34.48983889649365,,363799707.0000005,65.07500000000002,-781.8815051986807
TITAN,376.0,301.7,350.9,341.15,344.83,44965806,302.75,448.4,340.06,355.5087856012884,340.06,359.55466593710344,320.56533406289657,44.57461024498884,,121407676.19999948,74.30000000000001,-781.8815051986807
TITAN,376.0,301.7,364.5,342.1,343.59,47320683,302.75,448.4,337.31,351.00447411087623,337.31,347.1622586242578,327.4577413757422,49.99196206092779,,44954648.850002155,74.30000000000001,0.0
