Symbol,Open Price,High,Low,Close Price,Total Traded Quantity,Total Traded Value,Date,Average Trading Price
HDFC,2418.0,2438.5,2409.0,2433.95,945874,2294533927.0,01-Jan-20,2425.8346534527855
HDFC,2430.0,2472.75,2422.0,2466.4,1701396,4169605313.0,02-Jan-20,2450.6965533009366
HDFC,2455.0,2466.4,2441.8,2454.45,1963923,4815298363.0,03-Jan-20,2451.8773714651747
HDFC,2428.0,2445.0,2371.4,2384.1,2656731,6365761041.0,06-Jan-20,2396.087914433189
HDFC,2401.25,2428.8,2380.2,2415.05,3771992,9078864622.0,07-Jan-20,2406.9151318454547
HDFC,2387.0,2413.0,2385.5,2406.15,2147334,5152320291.0,08-Jan-20,2399.403302420583
HDFC,2430.0,2462.7,2421.15,2457.4,3247323,7937400090.0,09-Jan-20,2444.2902938820685
HDFC,2465.0,2477.65,2440.3,2457.55,2082060,5116849568.0,10-Jan-20,2457.5898715695034
HDFC,2461.1,2471.05,2441.0,2462.55,3401754,8341254561.0,13-Jan-20,2452.0451981536585
HDFC,2463.65,2499.9,2446.6,2492.3,2549328,6313164444.0,14-Jan-20,2476.4033674756643
HDFC,2483.95,2495.0,2453.55,2488.6,2279961,5650678839.0,15-Jan-20,2478.4103057025977
HDFC,2486.0,2495.75,2471.8,2482.1,1794295,4455532994.0,16-Jan-20,2483.166365619923
HDFC,2467.75,2479.0,2448.25,2453.95,2250437,5539209315.0,17-Jan-20,2461.3927494970976
HDFC,2474.0,2486.55,2440.4,2454.35,2274456,5592774717.0,20-Jan-20,2458.9504993721575
HDFC,2443.0,2485.9,2432.0,2465.45,2404025,5915603566.0,21-Jan-20,2460.7080067802954
HDFC,2474.0,2483.35,2412.2,2416.6,3356004,8177410519.0,22-Jan-20,2436.651004885572
HDFC,2422.0,2436.4,2404.35,2428.4,1812646,4390290578.0,23-Jan-20,2422.034185384239
HDFC,2423.0,2458.6,2411.4,2450.75,2178412,5317035467.0,24-Jan-20,2440.785061319897
HDFC,2433.0,2445.0,2388.5,2395.8,2543177,6144072138.0,27-Jan-20,2415.9042559758914
HDFC,2413.0,2471.7,2410.0,2431.6,6698252,16370561187.0,28-Jan-20,2444.004971296989
HDFC,2446.0,2447.5,2400.0,2404.25,2692713,6535014985.0,29-Jan-20,2426.925923780217
HDFC,2413.0,2428.7,2386.9,2415.0,2807667,6773672532.0,30-Jan-20,2412.562647920854
HDFC,2417.0,2434.75,2404.5,2414.0,2828509,6841949880.0,31-Jan-20,2418.924557072295
HDFC,2250.0,2298.05,2228.2,2259.75,5220749,11837535197.0,03-Feb-20,2267.401707494461
HDFC,2265.6,2351.0,2265.6,2345.95,3288687,7637738602.0,04-Feb-20,2322.427948296691
HDFC,2345.55,2395.5,2326.2,2391.65,3244383,7680979375.0,05-Feb-20,2367.4699858185672
HDFC,2390.0,2447.8,2369.65,2436.45,3536393,8548207986.0,06-Feb-20,2417.2109790964973
HDFC,2428.1,2452.3,2398.35,2405.65,2193190,5307998216.0,07-Feb-20,2420.2181370515095
HDFC,2405.0,2425.3,2391.05,2414.3,2056525,4959076231.0,10-Feb-20,2411.386309915999
HDFC,2424.45,2441.75,2420.2,2435.15,1732762,4214124062.0,11-Feb-20,2432.0270539173875
HDFC,2449.5,2487.0,2427.9,2437.6,4173099,10235994517.0,12-Feb-20,2452.8520691696986
HDFC,2426.0,2444.15,2399.0,2403.65,2280271,5502526882.0,13-Feb-20,2413.102162856959
HDFC,2402.0,2425.85,2389.4,2401.75,2611510,6277832031.0,14-Feb-20,2403.9088615398755
HDFC,2401.75,2406.65,2345.15,2350.25,2398556,5672596635.0,17-Feb-20,2365.004875850303
HDFC,2349.0,2349.0,2304.0,2318.8,2345063,5442220043.0,18-Feb-20,2320.71379020521
HDFC,2343.0,2385.0,2330.05,2377.25,2088724,4924315570.0,19-Feb-20,2357.571210940268
HDFC,2364.0,2377.5,2349.05,2369.5,3351611,7928804253.0,20-Feb-20,2365.6695997835072
HDFC,2355.0,2365.2,2280.1,2292.3,4238039,9796556094.0,24-Feb-20,2311.577617383889
HDFC,2309.0,2320.75,2285.0,2302.6,3292922,7591505237.0,25-Feb-20,2305.400867982904
HDFC,2278.0,2309.5,2253.55,2281.45,6163133,14077071477.0,26-Feb-20,2284.077185580775
HDFC,2279.8,2289.6,2244.55,2272.2,3261885,7406620648.0,27-Feb-20,2270.6565829267433
