Date,Open Price,High,Low,Close Price,Total Traded Quantity
1996-01-01,0.794921,0.796679,0.791015,0.796679,204800.0
1996-01-02,0.794921,0.798828,0.793457,0.793457,204800.0
1996-01-03,0.798828,0.798828,0.798828,0.798828,102400.0
1996-01-04,0.791015,0.794921,0.791015,0.793554,307200.0
1996-01-05,0.784179,0.784179,0.784179,0.784179,51200.0
1996-01-08,0.784179,0.791015,0.785156,0.789062,358400.0
1996-01-09,0.789062,0.78125,0.771484,0.780273,870400.0
1996-01-10,0.780273,0.77539,0.771484,0.773437,358400.0
1996-01-11,0.779296,0.791015,0.773437,0.791015,819200.0
1996-01-12,0.787109,0.787109,0.78125,0.786621,358400.0
1996-01-15,0.776367,0.785156,0.776367,0.777832,307200.0
1996-01-16,0.777832,0.78125,0.71289,0.78125,358400.0
1996-01-17,0.78125,0.783203,0.771484,0.773828,768000.0
1996-01-18,0.773828,0.776367,0.769531,0.776367,204800.0
1996-01-19,0.771484,0.771484,0.768066,0.768554,512000.0
1996-01-22,0.771484,0.776367,0.771484,0.776367,204800.0
1996-01-23,0.767578,0.78125,0.767578,0.773925,665600.0
1996-01-24,0.773925,0.770507,0.752929,0.770507,409600.0
1996-01-25,0.770996,0.770996,0.767578,0.767578,102400.0
1996-01-26,0.767578,0.767578,0.767578,0.767578,0.0
1996-01-29,0.765625,0.765625,0.763183,0.763183,102400.0
1996-01-30,0.763183,0.77539,0.771484,0.77246,1433600.0
1996-01-31,0.77246,0.78125,0.767578,0.78125,460800.0
1996-02-01,0.78125,0.810546,0.78125,0.810546,819200.0
1996-02-02,0.810546,0.839843,0.810546,0.839746,2355200.0
1996-02-05,0.839746,0.841796,0.82041,0.839843,819200.0
1996-02-06,0.839843,0.883789,0.839843,0.859375,1382400.0
1996-02-07,0.859375,0.84375,0.833984,0.836523,972800.0
1996-02-08,0.849609,0.888671,0.849609,0.888671,768000.0
1996-02-09,0.888671,0.927734,0.830078,0.922558,1382400.0
1996-02-12,0.922558,0.935546,0.908203,0.912109,819200.0
1996-02-13,0.9375,0.957031,0.9375,0.957031,2048000.0
1996-02-14,0.957031,1.000976,0.951171,0.993164,972800.0
1996-02-15,0.993164,1.005859,0.957031,1.002539,2201600.0
1996-02-16,1.002539,1.015625,0.965332,1.005371,2764800.0
1996-02-19,1.005371,0.986328,0.982421,0.98457,1024000.0
1996-02-20,0.98457,0.981445,0.96875,0.968945,614400.0
1996-02-21,0.968945,0.968945,0.968945,0.968945,0.0
1996-02-22,0.968945,0.972656,0.96123,0.961425,307200.0
1996-02-23,0.961425,0.970703,0.960937,0.970703,153600.0
1996-02-26,0.970703,0.976562,0.966308,0.976562,204800.0
1996-02-27,0.976562,0.952148,0.927734,0.927734,153600.0
1996-02-28,0.927734,0.929687,0.929687,0.929687,51200.0
1996-02-29,0.929687,0.917968,0.914062,0.916015,460800.0
1996-03-01,0.916015,0.927734,0.898437,0.922851,512000.0
1996-03-04,0.927734,0.9375,0.927734,0.9375,153600.0
1996-03-05,0.9375,0.9375,0.9375,0.9375,0.0
1996-03-06,0.952929,0.952929,0.911132,0.911132,204800.0
1996-03-07,0.911132,0.9375,0.917871,0.9375,307200.0
1996-03-08,0.9375,0.945214,0.929687,0.945214,256000.0
1996-03-11,0.945214,0.9375,0.931738,0.935546,153600.0
1996-03-12,0.935546,0.9375,0.917968,0.9375,409600.0
1996-03-13,0.9375,0.928125,0.915039,0.915039,870400.0
1996-03-14,0.915039,0.9375,0.937011,0.9375,307200.0
1996-03-15,0.9375,0.933691,0.933593,0.933593,153600.0
1996-03-18,0.933593,0.9375,0.933593,0.93496,1228800.0
1996-03-19,0.93496,0.9375,0.927734,0.9375,256000.0
1996-03-20,0.9375,0.9375,0.9375,0.9375,0.0
1996-03-21,0.9375,0.944726,0.93457,0.93457,256000.0
1996-03-22,0.93457,0.951171,0.941503,0.946679,768000.0
1996-03-25,0.946679,0.937304,0.920898,0.935546,409600.0
