Symbol,High,Low,Open Price,Close Price,Average Trading Price,Total Traded Quantity,52 Week Low,52 Week High,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
TITAN,2910.0,2559.25,2603.05,2906.95,2727.8,31523699,1825.05,2791.0,,,,,,,,,,
TITAN,1621.35,1267.0,1301.95,1542.35,1423.23,98999526,720.9,1341.05,,,,,,,,-135094753179.59999,352.54999999999995,
TITAN,1621.35,1300.35,1331.0,1489.95,1467.88,86624727,720.9,1375.0,,,,,,0.0,,-4539135694.799988,337.67499999999995,-227856.4569355039
TITAN,1621.35,1343.5,1347.95,1517.3,1495.92,81710964,720.9,1392.05,,1685.3846153846152,,,,6.929313402584214,,2234794865.3999925,299.42499999999995,6757.7588382822805
TITAN,1621.35,1415.55,1430.0,1450.1,1507.99,76317476,720.9,1440.55,1781.33,1595.0620853080568,1781.33,3041.6709391906616,520.9890608093383,5.169155169155161,,-5128534387.200004,241.82499999999993,8525.48690015788
TITAN,1621.35,1415.25,1514.2,1509.45,1513.96,70924522,720.9,1528.55,1501.83,1563.778270676692,1501.83,1570.7965353631694,1432.8634646368305,34.54011741682979,,4209370380.70001,205.94999999999993,4835.510602659295
TITAN,1621.35,1415.25,1503.3,1494.2,1521.63,76953152,720.9,1547.65,1492.2,1539.143710539097,1492.2,1544.2484870097037,1440.1515129902964,29.797411367473316,,-1173535568.0,206.0999999999999,-21.794295631609522
TITAN,1621.35,1412.8,1566.0,1425.55,1509.67,81762401,720.9,1573.0,1479.32,1499.7417367168914,1479.32,1558.7978774251003,1399.8421225748996,13.324777291257746,,-5612988828.650007,207.32499999999993,-156.22935901798456
TITAN,1588.0,1396.0,1560.0,1406.9,1491.88,79044104,720.9,1621.35,1457.24,1467.9679828908247,1457.24,1544.8828947490854,1369.5971052509146,10.246932693424185,,-1474172539.5999892,200.27499999999998,-3201.6177917845607
TITAN,1588.0,1396.0,1467.0,1474.2,1485.79,75260512,720.9,1621.35,1462.06,1470.0819819043516,1462.06,1550.3876683718033,1373.7323316281966,66.3476468966318,,5065032457.599997,192.0,-3045.388432766576
TITAN,1588.0,1396.0,1505.05,1482.5,1481.54,71809314,720.9,1621.35,1456.67,1474.2697359779327,1456.67,1533.0146003329592,1380.325399667041,70.84292054870305,,596017306.1999967,192.0,0.0
TITAN,1588.0,1396.0,1437.8,1465.45,1484.88,73369658,720.9,1621.35,1450.9199999999998,1471.306989067878,1450.9199999999998,1516.7362062109264,1385.1037937890733,45.74041451197832,,-1250952668.8999968,192.0,0.0
TITAN,1588.0,1396.0,1514.0,1505.85,1482.2,72522761,720.9,1621.35,1466.98,1482.8807949343402,1466.98,1540.5722754098504,1393.3877245901497,79.74799184314105,,2929919544.39999,192.0,0.0
TITAN,1593.3,1396.0,1492.15,1514.1,1479.32,64549193,720.9,1621.35,1488.4199999999998,1493.3229661487208,1488.4199999999998,1529.9909393687387,1446.849060631261,83.8755008938286,48.2410173158431,532530842.25,194.64999999999998,404.99731731736586
